cell_x_m,cell_y_m,count
191727.66401520075,1744565.5185298186,5
201727.66401520075,1764565.5185298186,5
193727.66401520075,1763565.5185298186,5
206727.66401520075,1754565.5185298186,5
194727.66401520075,1772565.5185298186,5
197727.66401520075,1762565.5185298186,5
201727.66401520075,1754565.5185298186,5
206727.66401520075,1752565.5185298186,5
191727.66401520075,1762565.5185298186,5
190727.66401520075,1755565.5185298186,5
212727.66401520075,1755565.5185298186,5
196727.66401520075,1758565.5185298186,5
208727.66401520075,1782565.5185298186,4
208727.66401520075,1783565.5185298186,4
201727.66401520075,1762565.5185298186,4
191727.66401520075,1763565.5185298186,4
191727.66401520075,1770565.5185298186,4
202727.66401520075,1766565.5185298186,4
206727.66401520075,1759565.5185298186,4
191727.66401520075,1777565.5185298186,4
191727.66401520075,1783565.5185298186,4
194727.66401520075,1757565.5185298186,4
202727.66401520075,1760565.5185298186,4
200727.66401520075,1766565.5185298186,4
202727.66401520075,1758565.5185298186,4
191727.66401520075,1745565.5185298186,4
199727.66401520075,1763565.5185298186,4
210727.66401520075,1783565.5185298186,4
210727.66401520075,1749565.5185298186,4
199727.66401520075,1767565.5185298186,4
190727.66401520075,1784565.5185298186,4
192727.66401520075,1750565.5185298186,4
206727.66401520075,1774565.5185298186,4
192727.66401520075,1768565.5185298186,4
208727.66401520075,1761565.5185298186,4
192727.66401520075,1770565.5185298186,4
198727.66401520075,1753565.5185298186,4
208727.66401520075,1750565.5185298186,4
197727.66401520075,1770565.5185298186,4
193727.66401520075,1752565.5185298186,4
204727.66401520075,1750565.5185298186,4
208727.66401520075,1756565.5185298186,4
204727.66401520075,1756565.5185298186,4
207727.66401520075,1753565.5185298186,4
189727.66401520075,1782565.5185298186,4
207727.66401520075,1783565.5185298186,4
205727.66401520075,1785565.5185298186,4
197727.66401520075,1744565.5185298186,4
194727.66401520075,1764565.5185298186,4
203727.66401520075,1749565.5185298186,4
196727.66401520075,1770565.5185298186,4
211727.66401520075,1746565.5185298186,4
195727.66401520075,1775565.5185298186,4
198727.66401520075,1762565.5185298186,4
208727.66401520075,1764565.5185298186,4
205727.66401520075,1762565.5185298186,4
192727.66401520075,1785565.5185298186,4
190727.66401520075,1769565.5185298186,4
209727.66401520075,1763565.5185298186,3
215727.66401520075,1749565.5185298186,3
201727.66401520075,1753565.5185298186,3
210727.66401520075,1763565.5185298186,3
210727.66401520075,1755565.5185298186,3
194727.66401520075,1760565.5185298186,3
211727.66401520075,1751565.5185298186,3
215727.66401520075,1745565.5185298186,3
205727.66401520075,1760565.5185298186,3
194727.66401520075,1775565.5185298186,3
215727.66401520075,1755565.5185298186,3
191727.66401520075,1751565.5185298186,3
205727.66401520075,1752565.5185298186,3
205727.66401520075,1749565.5185298186,3
191727.66401520075,1772565.5185298186,3
214727.66401520075,1751565.5185298186,3
193727.66401520075,1768565.5185298186,3
192727.66401520075,1753565.5185298186,3
209727.66401520075,1764565.5185298186,3
189727.66401520075,1766565.5185298186,3
208727.66401520075,1751565.5185298186,3
192727.66401520075,1749565.5185298186,3
212727.66401520075,1744565.5185298186,3
206727.66401520075,1783565.5185298186,3
190727.66401520075,1776565.5185298186,3
190727.66401520075,1771565.5185298186,3
216727.66401520075,1759565.5185298186,3
206727.66401520075,1749565.5185298186,3
208727.66401520075,1762565.5185298186,3
198727.66401520075,1764565.5185298186,3
212727.66401520075,1753565.5185298186,3
208727.66401520075,1759565.5185298186,3
192727.66401520075,1755565.5185298186,3
199727.66401520075,1761565.5185298186,3
